index,beam_position,fire_hrr_density,fire_load_density,fire_nft_ubound,fire_resistance_equivalence,fire_spread_speed,fire_type,flag_solver_status,opening_factor,solver_iter_count,solver_protection_thickness,solver_steel_temperature_solved,window_open_fraction
0,18.714,0.25,687.2922828733795,990.8922517036458,0,0.01827925,0,False,0.03410733662214281,0,0.0001,293.6166767611091,0.9550541489436863
0,11.982000000000001,0.25,1016.2499107575147,1193.4139020871378,0,0.00987825,0,False,0.03249929343454072,0,0.0001,294.5014184263444,0.9100266425448734
0,18.089999999999996,0.25,705.0128344982833,1116.4267835346827,0,0.01142825,0,False,0.03383735420202979,0,0.0001,293.48251797629615,0.9474942555011887
0,17.346,0.25,877.8001429959115,1073.6783133083793,0,0.01118025,0,False,0.030909348087360154,0,0.0001,294.05166321821326,0.8655059015312611
0,19.914,0.25,752.4841595655089,1000.5677750484174,0,0.014419749999999999,0,False,0.032217261070061204,0,0.0001,294.82161894059993,0.9021293334463467
0,10.686,0.25,342.46789591086355,898.3867491024635,0,0.01872875,0,False,0.0329076454638647,0,0.0001,296.1760105931299,0.9214610827111058
0,10.122,0.25,1224.5096263356,1200.0,0,0.00826625,0,False,0.027408506441976465,0,0.0001,889.4459246590926,0.7674773343857425
0,16.794,0.25,882.5948072767495,1001.6383520368855,0,0.012761249999999998,0,False,0.029189137811006398,0,0.0001,413.63182274754877,0.8173375564127907
0,12.426000000000002,0.25,712.9229743694908,914.4789321436658,0,0.011738249999999999,0,False,0.033122702748181604,0,0.0001,294.5557276962008,0.9274829938888339
0,17.466,0.25,904.2875186948461,1195.7560499727501,0,0.01223425,0,False,0.028505492386180078,0,0.0001,494.2964995497948,0.7981945079062455
0,18.534,0.25,654.6359066285348,1200.0,0,0.01214125,0,False,0.033636532760288565,0,0.0001,294.1441609552531,0.9418709682519787
0,11.370000000000001,0.25,510.45339571149384,977.0919470130871,0,0.01893025,0,False,0.021965197758921636,0,0.0001,293.6149070738261,0.615056915303307
0,16.386,0.25,592.2772534853958,1087.2145038870526,0,0.01800025,0,False,0.029910245381079805,0,0.0001,295.08029048225944,0.8375295985022395
0,15.342000000000002,0.25,909.5381381520809,1051.9813595595592,0,0.01034325,0,False,0.03202326266724307,0,0.0001,293.66306804313746,0.896697101033933
0,9.786,0.25,629.8009786309966,896.5976221607754,0,0.01640375,0,False,0.034382144117467255,0,0.0001,294.96293677849013,0.9627491513848927
0,10.266,0.25,730.2462129007866,1159.02624995434,0,0.01333475,0,False,0.03356845155945745,0,0.0001,295.4646132637814,0.9399645973723303
0,19.733999999999998,0.25,512.4198074393249,963.9932509110279,0,0.01548925,0,False,0.030879390070506052,0,0.0001,293.6661884326406,0.8646670342632711
0,15.437999999999999,0.25,872.6407717125595,1008.9654358627147,0,0.007289749999999999,0,False,0.030239693894825698,0,0.0001,308.82819152824777,0.8467546275158528
0,19.89,0.25,654.7016130155051,1133.8841006477583,0,0.012482249999999999,0,False,0.027629301933148966,0,0.0001,314.990333180825,0.7736599235526567
0,18.246,0.25,428.61405384596725,1016.5437384973264,0,0.016434749999999998,0,False,0.034064847325788,0,0.0001,294.23334330132684,0.9538643879483053
0,20.382,0.25,729.5007159364563,1030.3932061362675,0,0.01383075,0,False,0.03462294149922887,0,0.0001,295.2004906905386,0.9694918220617026
0,19.518,0.25,395.1985234239253,935.2035673977012,0,0.01586125,0,False,0.02879083921254219,0,0.0001,293.33380546472364,0.8061846266723096
0,18.198,0.25,734.2073743086869,1107.9710782127952,0,0.01899225,0,False,0.02485563677124906,0,0.0001,616.7432282876562,0.6959933367417326
0,18.042,0.25,509.03496610120084,1057.1159858657893,0,0.01734925,0,False,0.027970085475959795,0,0.0001,295.08496122418455,0.783202349572574
0,14.202,0.25,676.2723041719664,974.2039636709615,0,0.01187775,0,False,0.03013620999203813,0,0.0001,293.2757731096998,0.8438569304074253
0,10.086,0.25,561.508686155792,1172.696718241597,0,0.01232725,0,False,0.03338165456020355,0,0.0001,293.9787614580852,0.9347340145471719
0,13.518,0.25,1386.553961574949,1115.5273832072746,0,0.00913425,0,False,0.0339982170747481,0,0.0001,521.7974602363382,0.9519986457355432
0,19.35,0.25,776.1408094425806,1052.6808314275695,0,0.01229625,0,False,0.03182352418227007,0,0.0001,293.83449145535957,0.891104138121275
0,11.238000000000001,0.25,759.0393829676887,1093.6198954626957,0,0.012451249999999999,0,False,0.029994724359784068,0,0.0001,294.47464131279685,0.8398951305871356
0,21.582,0.25,666.1303940668622,966.1158993522419,0,0.016372750000000002,0,False,0.03306352432427396,0,0.0001,293.49306961337305,0.925825913480971
0,14.334000000000001,0.25,303.09860049471894,908.0983718246987,1971.2929707308535,0.01355175,1,True,0.03422156432080189,6,0.005766634005541125,892.7794538957816,0.9582526876844046
0,18.87,0.25,41.945225,1067.4668978846362,1981.6750430573206,0.01623325,1,True,0.034727652512521266,9,0.0058070165315467805,892.5444959486886,0.9724238800172357
0,10.038,0.25,333.46555928930314,933.6901387818906,2063.5960181296555,0.01671375,1,True,0.029836641175424172,6,0.006124838948791185,892.6713221673613,0.8354685755976987
0,15.558,0.25,316.6132750998952,925.0405032765125,2089.485429470395,0.01417175,1,True,0.01405420081605424,6,0.0062254385440494355,892.6882981719248,0.3935376997671026
0,15.857999999999999,0.25,252.50306027783506,1143.046539367586,2142.915915777573,0.012978249999999998,1,True,0.03408175882078445,10,0.006433325767332954,892.1483949308237,0.9543379339668681
